epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.23755,0.75,2.12845,1.18158,0.86855,0.9229,0.94432,0.72584,1.26969,0.85547,1.18558,0,0,0
2,5.04777,0.87747,2.44953,1.2141,0.87001,0.91625,0.94365,0.72557,1.27051,0.86506,1.18619,1.17822e-06,1.17822e-06,1.17822e-06
3,7.68963,0.76737,2.76053,1.23883,0.8542,0.9239,0.94337,0.71715,1.278,0.86776,1.18771,2.33288e-06,2.33288e-06,2.33288e-06
4,10.4362,1.07016,2.29015,1.77435,0.8573,0.92074,0.94436,0.70866,1.27959,0.86601,1.18744,3.46397e-06,3.46397e-06,3.46397e-06
5,12.963,1.21145,3.07911,1.7231,0.85641,0.91502,0.94658,0.70148,1.28398,0.87575,1.1885,4.5715e-06,4.5715e-06,4.5715e-06
6,15.3444,0.90963,2.15096,1.21186,0.85356,0.91338,0.95165,0.70486,1.28336,0.87756,1.18736,5.65548e-06,5.65548e-06,5.65548e-06
7,17.9283,0.89961,2.42178,1.28201,0.85271,0.90075,0.94529,0.696,1.28402,0.89118,1.18671,6.71588e-06,6.71588e-06,6.71588e-06
8,20.353,0.65123,1.90688,1.04606,0.85584,0.89334,0.95195,0.69727,1.2857,0.89091,1.1852,7.75273e-06,7.75273e-06,7.75273e-06
9,22.8615,1.0257,2.93,1.36648,0.8393,0.89973,0.9543,0.69264,1.28545,0.89714,1.18498,8.76602e-06,8.76602e-06,8.76602e-06
10,25.2092,0.82574,1.55591,1.13945,0.8251,0.89941,0.95505,0.69379,1.28414,0.90869,1.18637,9.75574e-06,9.75574e-06,9.75574e-06
11,27.7862,0.98373,2.09957,1.24079,0.81239,0.9053,0.95556,0.68875,1.27677,0.91607,1.18726,1.07219e-05,1.07219e-05,1.07219e-05
12,30.1991,0.85357,1.45882,1.33033,0.83069,0.89156,0.95707,0.70171,1.28316,0.91764,1.19089,1.16645e-05,1.16645e-05,1.16645e-05
13,32.6082,0.71014,1.37125,1.16055,0.85278,0.86987,0.95933,0.70815,1.28333,0.92746,1.19376,1.25835e-05,1.25835e-05,1.25835e-05
14,35.0684,0.98462,1.47071,1.32944,0.8326,0.85,0.91669,0.69146,1.29715,0.9281,1.20599,1.3479e-05,1.3479e-05,1.3479e-05
15,37.5882,0.85453,1.06339,1.30799,0.82368,0.85,0.87689,0.68516,1.31523,0.94188,1.21543,1.43509e-05,1.43509e-05,1.43509e-05
16,40.1419,0.82685,1.51865,1.34081,0.81168,0.85,0.91432,0.69409,1.32828,0.95202,1.22565,1.51993e-05,1.51993e-05,1.51993e-05
17,42.6775,0.96644,1.22161,1.43887,0.7827,0.85,0.91487,0.69102,1.32751,0.96381,1.22728,1.60241e-05,1.60241e-05,1.60241e-05
18,45.0497,0.89754,1.37823,1.26361,0.7827,0.85,0.91487,0.69102,1.32751,0.96381,1.22728,1.68253e-05,1.68253e-05,1.68253e-05
